wheelbase,carlength,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarName
94.5,165.3,1918,97,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan rogue
94.5,165.3,1938,97,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan latio
94.5,170.2,2024,97,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan titan
94.5,165.3,1951,97,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan leaf
94.5,165.6,2028,97,3.15,3.29,9.4,69,5200,31,37,7799.0,nissan juke
94.5,165.3,1971,97,3.15,3.29,9.4,69,5200,31,37,7499.0,nissan latio
94.5,170.2,2037,97,3.15,3.29,9.4,69,5200,31,37,7999.0,nissan note
95.1,162.4,2008,97,3.15,3.29,9.4,69,5200,31,37,8249.0,nissan clipper
97.2,173.4,2324,120,3.33,3.47,8.5,97,5200,27,34,8949.0,nissan rogue
97.2,173.4,2302,120,3.33,3.47,8.5,97,5200,27,34,9549.0,nissan nv200
100.4,181.7,3095,181,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan dayz
100.4,184.6,3296,181,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan fuga
100.4,184.6,3060,181,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan otti
91.3,170.7,3071,181,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan teana
91.3,170.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan kicks
99.2,178.5,3139,181,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan clipper
107.9,186.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot 504
107.9,186.7,3197,152,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot 304
114.2,198.9,3230,120,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot 504 (sw)
114.2,198.9,3430,152,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot 504
107.9,186.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot 504
107.9,186.7,3252,152,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot 604sl
114.2,198.9,3285,120,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot 504
114.2,198.9,3485,152,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot 505s turbo diesel
107.9,186.7,3075,120,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot 504
107.9,186.7,3252,152,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot 504
108.0,186.7,3130,134,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot 604sl
93.7,157.3,1918,90,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth fury iii
93.7,157.3,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth cricket
93.7,157.3,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth fury iii
93.7,167.3,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth satellite custom (sw)
93.7,167.3,2191,98,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth fury gran sedan
103.3,174.6,2535,122,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth valiant
95.9,173.2,2818,156,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth duster
94.5,168.9,2778,151,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche macan
89.5,168.9,2756,194,3.74,2.9,9.5,207,5900,17,25,32528.0,porcshce panamera
89.5,168.9,2756,194,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche cayenne
89.5,168.9,2800,194,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche boxter
98.4,175.7,3366,203,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche cayenne
96.1,181.5,2579,132,3.46,3.9,8.7,90,5100,23,31,9295.0,renault 12tl
96.1,176.8,2460,132,3.46,3.9,8.7,90,5100,23,31,9895.0,renault 5 gtl
99.1,186.6,2658,121,3.54,3.07,9.31,110,5250,21,28,11850.0,saab 99e
99.1,186.6,2695,121,3.54,3.07,9.3,110,5250,21,28,12170.0,saab 99le
99.1,186.6,2707,121,2.54,2.07,9.3,110,5250,21,28,15040.0,saab 99le
99.1,186.6,2758,121,3.54,3.07,9.3,110,5250,21,28,15510.0,saab 99gle
99.1,186.6,2808,121,3.54,3.07,9.0,160,5500,19,26,18150.0,saab 99gle
99.1,186.6,2847,121,3.54,3.07,9.0,160,5500,19,26,18620.0,saab 99e
93.7,156.9,2050,97,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru
93.7,157.9,2120,108,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru dl
93.3,157.3,2240,108,3.62,2.64,8.7,73,4400,26,31,7603.0,subaru dl
97.2,172.0,2145,108,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru
97.2,172.0,2190,108,3.62,2.64,9.5,82,4400,28,33,7775.0,subaru brz
97.2,172.0,2340,108,3.62,2.64,9.0,94,5200,26,32,9960.0,subaru baja
97.0,172.0,2385,108,3.62,2.64,9.0,82,4800,24,25,9233.0,subaru r1
97.0,172.0,2510,108,3.62,2.64,7.7,111,4800,24,29,11259.0,subaru r2
97.0,173.5,2290,108,3.62,2.64,9.0,82,4800,28,32,7463.0,subaru trezia
97.0,173.5,2455,108,3.62,2.64,9.0,94,5200,25,31,10198.0,subaru tribeca
96.9,173.6,2420,108,3.62,2.64,9.0,82,4800,23,29,8013.0,subaru dl
96.9,173.6,2650,108,3.62,2.64,7.7,111,4800,23,23,11694.0,subaru dl
95.7,158.7,1985,92,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota corona mark ii
95.7,158.7,2040,92,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota corona
95.7,158.7,2015,92,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota corolla 1200
95.7,169.7,2280,92,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota corona hardtop
95.7,169.7,2290,92,3.05,3.03,9.0,62,4800,27,32,7898.0,toyota corolla 1600 (sw)
95.7,169.7,3110,92,3.05,3.03,9.0,62,4800,27,32,8778.0,toyota carina
95.7,166.3,2081,98,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota mark ii
95.7,166.3,2109,98,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota corolla 1200
95.7,166.3,2275,110,3.27,3.35,22.5,56,4500,34,36,7898.0,toyota corona
95.7,166.3,2275,110,3.27,3.35,22.5,56,4500,38,47,7788.0,toyota corolla
95.7,166.3,2094,98,3.19,3.03,9.0,70,4800,38,47,7738.0,toyota corona
95.7,166.3,2122,98,3.19,3.03,9.0,70,4800,28,34,8358.0,toyota corolla
95.7,166.3,2140,98,3.19,3.03,9.0,70,4800,28,34,9258.0,toyota mark ii
94.5,168.7,2169,98,3.19,3.03,9.0,70,4800,29,34,8058.0,toyota corolla liftback
94.5,168.7,2204,98,3.19,3.03,9.0,70,4800,29,34,8238.0,toyota corona
94.5,168.7,2265,98,3.24,3.08,9.4,112,6600,26,29,9298.0,toyota celica gt liftback
94.5,168.7,2300,98,3.24,3.08,9.4,112,6600,26,29,9538.0,toyota corolla tercel
98.4,176.2,2540,146,3.62,3.5,9.3,116,4800,24,30,8449.0,toyota corona liftback
98.4,176.2,2536,146,3.62,3.5,9.3,116,4800,24,30,9639.0,toyota corolla
98.4,176.2,2551,146,3.62,3.5,9.3,116,4800,24,30,9989.0,toyota starlet
98.4,176.2,2679,146,3.62,3.5,9.3,116,4800,24,30,11199.0,toyota tercel
98.4,176.2,2714,146,3.62,3.5,9.3,116,4800,24,30,11549.0,toyota corolla
98.4,176.2,2975,146,3.62,3.5,9.3,116,4800,24,30,17669.0,toyota cressida
102.4,175.6,2326,122,3.31,3.54,8.7,92,4200,29,34,8948.0,toyota corolla
102.4,175.6,2480,110,3.27,3.35,22.5,73,4500,30,33,10698.0,toyota celica gt
102.4,175.6,2414,122,3.31,3.54,8.7,92,4200,27,32,9988.0,toyota corona
102.4,175.6,2414,122,3.31,3.54,8.7,92,4200,27,32,10898.0,toyota corolla
102.4,175.6,2458,122,3.31,3.54,8.7,92,4200,27,32,11248.0,toyota mark ii
102.9,183.5,2976,171,3.27,3.35,9.3,161,5200,20,24,16558.0,toyota corolla liftback
102.9,183.5,3016,171,3.27,3.35,9.3,161,5200,19,24,15998.0,toyota corona
104.5,187.8,3131,171,3.27,3.35,9.2,156,5200,20,24,15690.0,toyota starlet
104.5,187.8,3151,161,3.27,3.35,9.2,156,5200,19,24,15750.0,toyouta tercel
97.3,171.7,2261,97,3.01,3.4,23.0,52,4800,37,46,7775.0,vokswagen rabbit
97.3,171.7,2209,109,3.19,3.4,9.0,85,5250,27,34,7975.0,volkswagen 1131 deluxe sedan
97.3,171.7,2264,97,3.01,3.4,23.0,52,4800,37,46,7995.0,volkswagen model 111
97.3,171.7,2212,109,3.19,3.4,9.0,85,5250,27,34,8195.0,volkswagen type 3
97.3,171.7,2275,109,3.19,3.4,9.0,85,5250,27,34,8495.0,volkswagen 411 (sw)
97.3,171.7,2319,97,3.01,3.4,23.0,68,4500,37,42,9495.0,volkswagen super beetle
97.3,171.7,2300,109,3.19,3.4,10.0,100,5500,26,32,9995.0,volkswagen dasher
94.5,159.3,2254,109,3.19,3.4,8.5,90,5500,24,29,11595.0,vw dasher
94.5,165.7,2221,109,3.19,3.4,8.5,90,5500,24,29,9980.0,vw rabbit
100.4,180.2,2661,136,3.19,3.4,8.5,110,5500,19,24,13295.0,volkswagen rabbit
100.4,180.2,2579,97,3.01,3.4,23.0,68,4500,33,38,13845.0,volkswagen rabbit custom
100.4,183.1,2563,109,3.19,3.4,9.0,88,5500,25,31,12290.0,volkswagen dasher
104.3,188.8,2912,141,3.78,3.15,9.5,114,5400,23,28,12940.0,volvo 145e (sw)
104.3,188.8,3034,141,3.78,3.15,9.5,114,5400,23,28,13415.0,volvo 144ea
104.3,188.8,2935,141,3.78,3.15,9.5,114,5400,24,28,15985.0,volvo 244dl
104.3,188.8,3042,141,3.78,3.15,9.5,114,5400,24,28,16515.0,volvo 245
104.3,188.8,3045,130,3.62,3.15,7.5,162,5100,17,22,18420.0,volvo 264gl
104.3,188.8,3157,130,3.62,3.15,7.5,162,5100,17,22,18950.0,volvo diesel
109.1,188.8,2952,141,3.78,3.15,9.5,114,5400,23,28,16845.0,volvo 145e (sw)
109.1,188.8,3049,141,3.78,3.15,8.7,160,5300,19,25,19045.0,volvo 144ea
109.1,188.8,3012,173,3.58,2.87,8.8,134,5500,18,23,21485.0,volvo 244dl
109.1,188.8,3217,145,3.01,3.4,23.0,106,4800,26,27,22470.0,volvo 246
109.1,188.8,3062,141,3.78,3.15,9.5,114,5400,19,25,22625.0,volvo 264gl
